0O9   41-50-44.406N 123-59-04.270W
3OH0  39-55-51.212N 084-00-48.766W
46IA  41-45-20.956N 093-33-59.779W
AL12  32-21-30.501N 086-07-29.867W
CYAG  48-39-00.000N 093-26-24.000W
CYAM  46-28-48.000N 084-30-00.000W
CYAY  51-22-12.000N 055-34-48.000W
CYBG  48-19-48.000N 071-00-00.000W
CYBL  49-57-00.000N 125-16-12.000W
CYCO  67-49-48.000N 115-06-00.000W
CYEG  53-18-36.000N 113-34-48.000W
CYEV  68-18-00.000N 133-29-24.000W
CYEY  48-33-36.000N 078-15-00.000W
CYFB  63-45-36.000N 068-33-36.000W
CYFC  45-52-12.000N 066-31-48.000W
CYGE  51-18-00.000N 116-58-48.000W
CYGK  44-13-48.000N 076-34-48.000W
CYGL  53-34-48.000N 077-40-48.000W
CYGW  55-16-12.000N 077-46-48.000W
CYHM  43-10-12.000N 079-55-48.000W
CYHU  45-31-00.000N 073-25-00.000W
CYHZ  44-53-00.000N 063-30-33.000W
CYIV  53-51-36.000N 094-39-00.000W
CYKZ  43-39-00.000N 079-22-48.000W
CYLL  53-16-48.000N 110-00-00.000W
CYLW  49-57-36.000N 119-22-48.000W
CYOO  43-54-00.000N 078-51-00.000W
CYOW  45-19-12.000N 075-40-12.000W
CYPL  51-30-00.000N 090-09-00.000W
CYQB  46-45-00.000N 071-27-00.000W
CYQL  49-37-48.000N 112-48-00.000W
CYQM  46-07-12.000N 064-40-48.000W
CYQT  48-22-48.000N 089-15-00.000W
CYQU  55-10-48.000N 118-53-24.000W
CYQY  46-10-12.000N 060-03-00.000W
CYSB  46-37-12.000N 080-48-00.000W
CYSM  60-01-12.000N 111-57-36.000W
CYTA  45-52-12.000N 077-15-00.000W
CYTH  55-48-00.000N 097-52-12.000W
CYTS  48-34-12.000N 081-22-12.000W
CYTZ  43-39-00.000N 079-22-48.000W
CYUL  45-31-12.000N 073-34-12.000W
CYVC  55-04-48.000N 105-18-00.000W
CYVP  58-09-00.000N 068-27-00.000W
CYVR  49-10-48.000N 123-12-00.000W
CYWG  49-54-00.000N 097-13-48.000W
CYWH  48-39-00.000N 123-24-00.000W
CYWK  52-55-12.000N 066-52-12.000W
CYXD  53-34-12.000N 113-31-12.000W
CYXE  52-10-12.000N 106-42-00.000W
CYXJ  56-14-24.000N 120-44-24.000W
CYXL  50-07-12.000N 091-54-00.000W
CYXS  53-52-48.000N 122-42-00.000W
CYXU  43-01-48.000N 081-09-00.000W
CYXX  49-03-00.000N 122-18-00.000W
CYXY  60-43-12.000N 135-06-00.000W
CYYB  46-22-12.000N 079-25-12.000W
CYYC  51-06-00.000N 114-01-12.000W
CYYJ  48-39-00.000N 123-24-00.000W
CYYR  53-19-12.000N 060-25-48.000W
CYYT  47-40-12.000N 052-49-12.000W
CYYZ  43-40-38.000N 079-37-50.000W
CYZF  62-27-46.000N 114-26-25.000W
CYZH  55-17-00.000N 114-46-00.000W
CYZT  50-40-48.000N 127-24-00.000W
EGLL  51-28-15.960N 000-27-11.002W
JHM   20-57-46.571N 156-40-22.914W
K00M  31-57-13.553N 089-14-04.217W
K00R  30-41-09.100N 095-01-04.540W
K00V  38-56-44.696N 104-34-11.616W
K01G  42-44-28.848N 078-03-07.490W
K01M  34-29-30.000N 088-12-04.000W
K01V  39-43-58.953N 104-39-17.884W
K02A  32-51-01.752N 086-36-41.232W
K02C  43-05-15.036N 088-10-40.329W
K02G  40-40-23.926N 080-38-29.063W
K04A  31-44-10.561N 086-15-44.858W
K04G  41-07-49.718N 080-37-10.490W
K04M  33-55-48.404N 089-20-34.267W
K04Q  36-52-17.832N 121-20-13.754W
K04Y  46-53-01.856N 096-21-03.235W
K05C  41-31-10.629N 087-24-03.936W
