AAAMY 43-04-07.600N 082-36-54.000W
AABEE 34-02-02.830N 084-13-46.760W
AACES 36-11-37.330N 114-14-40.570W
AACEZ 34-33-10.000N 073-59-48.000W
AADCO 45-17-05.970N 093-12-27.440W
AADPO 14-10-07.540S 170-58-03.120W
AAECO 40-13-49.620N 074-20-59.790W
AALST 40-45-52.240N 074-07-11.320W
AAMYY 51-30-18.800N 171-09-11.700E
AANNE 38-29-12.710N 121-48-43.120W
AANTS 38-43-07.160N 078-27-45.530W
AANZA 32-46-34.460N 116-05-28.180W
AAREN 36-31-58.960N 078-56-19.810W
AARON 36-39-36.550N 079-18-22.240W
AASEN 45-49-47.620N 122-36-42.890W
AASON 40-51-35.490N 115-37-17.070W
AASUN 44-54-46.680N 093-16-02.430W
ABACK 32-42-08.840N 080-10-09.540W
ABACO 27-00-00.000N 077-34-10.000W
ABAGY 40-58-21.840N 093-36-05.410W
ABALE 30-08-31.480N 085-39-25.580W
ABAMM 43-06-26.030N 078-22-33.200W
ABAPY 40-55-04.690N 102-53-55.330W
ABAQY 46-01-14.510N 083-41-34.040W
ABARN 47-19-08.500N 112-05-30.610W
ABARR 41-11-29.940N 073-59-04.600W
ABART 29-52-48.910N 090-17-04.320W
ABASE 35-17-03.750N 120-56-17.600W
ABASI 55-30-50.580N 133-11-07.600W
ABBAL 35-13-10.030N 097-23-03.030W
ABBAS 31-13-14.980N 093-27-08.520W
ABBAY 46-06-31.600N 068-21-50.700W
ABBEE 41-11-08.460N 085-30-11.020W
ABBET 31-52-01.080N 084-27-04.710W
ABBEY 37-52-13.230N 085-57-51.200W
ABBIE 39-15-52.070N 087-34-01.240W
ABBIH 34-22-09.530N 084-25-02.850W
ABBIT 42-22-52.350N 122-54-13.250W
ABBOT 24-05-05.000N 094-39-12.000W
ABBUK 40-46-58.930N 079-48-33.820W
ABBYS 40-28-22.940N 074-59-37.030W
ABCAJ 36-12-14.150N 096-02-26.700W
ABCEJ 33-16-30.280N 088-41-32.940W
ABCOD 38-19-11.670N 075-13-44.860W
ABCOL 35-12-15.160N 097-15-55.010W
ABCOT 45-02-36.000N 073-37-47.000W
ABCUX 36-15-59.020N 096-09-39.480W
ABDAL 39-38-19.090N 080-16-35.680W
ABDOH 33-39-46.960N 101-37-44.870W
ABEAN 40-58-55.320N 073-54-45.200W
ABEAR 62-52-11.970N 157-03-28.890W
ABEBE 42-15-38.990N 086-08-00.920W
ABEDE 34-56-27.340N 089-58-14.400W
ABEGE 40-41-29.370N 096-58-36.340W
ABELE 43-09-57.390N 083-02-33.530W
ABENY 54-15-06.000N 113-04-30.000W
ABERG 39-41-39.740N 121-48-29.680W
ABERN 46-59-15.630N 123-47-51.700W
ABERS 41-36-23.020N 077-52-38.360W
ABETT 42-14-05.470N 075-51-51.100W
ABEWE 46-48-26.130N 092-05-36.970W
ABEWY 43-14-28.520N 089-07-46.550W
ABEYO 30-33-14.290N 092-26-57.280W
ABFUZ 46-26-09.980N 095-29-36.780W
ABHOD 36-23-18.740N 084-03-06.370W
ABICO 41-55-12.160N 100-27-54.210W
ABIDE 31-31-37.920N 085-19-19.700W
ABILE 38-14-14.280N 085-27-04.020W
ABILY 25-59-57.260N 080-28-25.010W
ABING 39-43-02.310N 085-02-57.480W
ABIQI 07-04-40.420N 158-41-44.740E
ABIRD 36-20-52.880N 097-33-48.140W
ABIRY 40-10-10.060N 082-51-08.770W
ABISE 43-41-06.070N 114-20-31.530W
ABISY 36-19-19.620N 096-29-43.530W
ABIVY 40-11-25.590N 078-41-25.190W
ABIXY 37-30-59.930N 094-39-33.340W
ABIYY 30-18-35.000N 092-26-22.000W
ABIZY 32-53-22.700N 103-29-03.590W
ABJES 30-39-07.510N 098-16-03.630W
ABJUT 40-57-04.480N 079-01-24.060W
ABKIY 44-46-20.630N 073-03-12.690W
ABKOC 60-55-38.290N 161-27-48.640W
ABLET 40-53-45.690N 111-59-14.180W
ABLIJ 44-53-55.020N 099-42-51.060W
ABLOK 12-43-06.000S 143-26-24.000E
ABNER 34-36-07.300N 135-42-08.200W
ABNEY 38-59-52.480N 077-12-57.130W
ABNOL 34-52-11.440N 086-33-21.470W
ABOHO 40-42-32.920N 086-36-04.820W
ABOME 39-29-36.000N 071-50-49.000W
ABOMY 40-18-02.080N 091-47-15.010W
ABORN 47-35-28.050N 111-12-11.680W
ABOSE 33-26-24.090N 111-40-10.150W
ABOTE 61-46-30.500N 163-05-34.940W
ABOTS 38-29-36.840N 106-28-41.840W
ABOTT 35-01-26.730N 094-13-56.110W
ABOVE 41-35-05.970N 096-40-08.220W
ABOWE 36-03-20.970N 080-09-13.580W
ABOZE 42-02-41.430N 102-28-41.450W
ABOZO 41-11-07.270N 091-40-58.730W
ABPUX 40-08-22.760N 078-36-14.810W
ABRAQ 40-20-53.290N 086-06-28.090W
