ABB   38-35-19.770N 085-38-09.586W
ABI   32-28-52.781N 099-51-48.449W
ABQ   35-02-37.674N 106-48-58.734W
ABR   45-25-02.479N 098-22-07.390W
ACH   35-06-42.142N 105-02-23.744W
ACK   41-16-54.641N 070-01-36.053W
ACO   41-06-28.405N 081-12-05.564W
ACT   31-39-44.387N 097-16-08.531W
ACV   40-58-53.152N 124-06-29.935W
ACY   39-27-21.141N 074-34-34.747W
ADH   34-48-09.200N 096-40-12.300W
ADM   34-12-41.649N 097-10-05.967W
ADN   25-51-54.000N 100-14-19.000W
ADW   38-48-25.965N 076-51-58.504W
AEL   43-40-59.846N 093-22-08.757W
AEX   31-15-24.224N 092-30-03.511W
AGC   40-16-43.151N 080-02-27.090W
AHC   40-16-04.311N 120-09-07.030W
AHN   33-56-51.314N 083-19-29.162W
AIA   42-03-20.300N 102-48-16.000W
AIR   40-01-01.260N 080-49-02.114W
AKN   58-43-28.884N 156-45-07.599W
AKO   40-09-20.079N 103-10-47.064W
ALB   42-44-50.180N 073-48-11.500W
ALD   33-00-44.964N 081-17-31.985W
ALI   27-44-23.278N 098-01-16.834W
ALO   42-33-23.344N 092-23-56.168W
ALS   37-20-56.973N 105-48-55.927W
ALW   46-05-13.093N 118-17-33.164W
AMA   35-17-15.082N 101-38-21.539W
AMG   31-32-11.506N 082-30-29.082W
AML   38-56-04.547N 077-28-00.103W
ANC   61-09-02.881N 150-12-23.603W
ANN   55-03-37.471N 131-34-42.238W
ANU   17-07-36.000N 061-47-53.000W
ANW   42-34-08.798N 099-59-22.848W
ANX   39-05-43.526N 094-07-43.805W
ANY   37-09-32.081N 098-10-14.638W
AOH   40-42-25.553N 083-58-05.352W
AOO   40-19-31.573N 078-18-13.345W
APA   39-34-31.000N 104-50-43.000W
APE   40-09-03.816N 082-35-17.883W
APN   45-04-58.043N 083-33-25.229W
ARD   40-15-12.059N 074-54-27.276W
ARG   36-06-35.989N 090-57-13.213W
ART   43-57-07.315N 076-03-52.632W
ASP   44-26-56.880N 083-23-39.460W
AST   46-09-42.080N 123-52-49.314W
ASX   46-32-57.901N 090-55-02.079W
ATL   33-37-44.655N 084-26-06.256W
ATR   38-48-35.325N 075-12-40.775W
ATY   44-58-46.971N 097-08-30.269W
AUG   44-19-12.073N 069-47-47.632W
AUW   44-50-48.487N 089-35-11.735W
AVE   35-38-49.112N 119-58-42.980W
AVK   36-46-45.112N 098-40-16.306W
AWK   19-17-06.110N 166-37-39.120E
AXN   45-57-30.067N 095-13-57.419W
AYR   18-13-29.000N 077-30-30.000W
AYS   31-16-09.958N 082-33-23.201W
AZO   42-14-13.151N 085-33-11.411W
AZQ   37-23-28.620N 083-15-46.890W
BAE   43-07-00.668N 088-17-03.647W
BAF   42-09-43.031N 072-42-58.333W
BAL   39-10-15.829N 076-39-40.522W
BAM   40-34-08.943N 116-55-20.144W
BAQ   10-48-02.000N 074-51-45.000W
BAX   43-46-58.053N 082-59-01.795W
BCE   37-41-21.131N 112-18-13.995W
BDA   32-21-51.727N 064-41-22.495W
BDE   48-43-22.054N 094-36-26.267W
BDF   41-09-35.033N 089-35-16.343W
BDL   41-56-27.638N 072-41-18.881W
BDR   41-09-38.540N 073-07-28.172W
BDT   09-20-17.000N 082-15-03.000W
BED   42-28-05.340N 071-17-18.207W
BET   60-47-05.390N 161-49-27.468W
BF    35-21-39.100N 118-58-06.900W
BFD   41-47-11.025N 078-37-09.691W
BFF   41-53-38.973N 103-28-55.279W
BFI   47-31-40.356N 122-18-10.449W
BFL   35-25-29.848N 119-02-48.364W
BFM   30-36-45.791N 088-03-19.793W
BFV   35-14-12.987N 099-12-22.192W
BGD   35-48-25.443N 101-22-55.692W
BGI   13-04-21.000N 059-29-08.000W
BGQ   61-34-10.035N 149-58-01.720W
BGR   44-50-30.476N 068-52-26.275W
BGS   32-23-08.118N 101-29-01.258W
BHM   33-33-47.575N 086-45-19.762W
BIB   38-55-13.241N 088-28-54.500W
BIE   40-18-05.101N 096-45-16.693W
BIG   64-00-15.774N 145-43-01.754W
BIH   37-22-36.944N 118-21-59.393W
BIL   45-48-30.725N 108-37-28.503W
BIS   46-45-42.339N 100-39-55.461W
BJB   43-25-19.126N 088-07-30.668W
BJC   39-54-46.948N 105-08-20.358W
BJI   47-34-33.131N 095-01-29.113W
BKA   56-51-33.874N 135-33-04.724W
BKE   44-50-26.140N 117-48-28.284W
BKW   37-46-49.115N 081-07-24.452W
BKX   44-18-11.690N 096-48-54.376W
BLD   35-59-44.825N 114-51-48.851W
BLF   37-18-23.216N 081-11-39.341W
BLH   33-35-45.788N 114-45-40.261W
BMI   40-28-50.928N 088-55-52.466W
BML   44-38-00.292N 071-11-10.082W
BNA   36-08-13.100N 086-41-05.200W
BOI   43-33-10.116N 116-11-31.674W
BOS   42-21-26.825N 070-59-22.366W
BOY   43-27-47.347N 108-17-58.964W
BPI   42-34-46.000N 110-06-33.200W
BPT   29-56-45.770N 094-00-58.328W
BQK   31-16-23.000N 081-27-28.000W
BQM   38-13-48.789N 085-39-53.083W
BQN   18-29-52.808N 067-06-30.057W
BQS   39-37-50.000N 093-52-31.000W
BQU   40-45-34.827N 115-45-40.924W
BQZ   40-27-49.500N 106-52-20.300W
BRD   46-20-53.769N 094-01-33.655W
BRK   38-56-40.277N 104-38-00.499W
BRL   40-43-24.245N 090-55-33.202W
BRO   25-55-26.659N 097-22-30.966W
BRV   38-20-10.555N 077-21-10.035W
BRW   71-16-24.293N 156-47-17.106W
BSR   36-10-52.664N 121-38-31.604W
BSV   40-44-26.424N 081-25-55.693W
BTG   45-44-52.120N 122-35-29.532W
BTL   42-18-35.300N 085-15-08.400W
BTR   30-29-06.471N 091-17-38.625W
BTT   66-54-18.031N 151-32-09.199W
BTV   44-23-49.583N 073-10-57.467W
BTY   36-48-02.102N 116-44-51.528W
BUA   45-33-07.920N 103-27-22.934W
BUD   40-36-59.747N 083-03-49.780W
BUF   42-55-44.411N 078-38-46.800W
BUM   38-16-19.583N 094-29-17.631W
BUU   42-41-21.560N 088-18-06.532W
BVL   40-43-33.951N 113-45-26.702W
BVN   41-43-46.538N 098-03-09.726W
BVO   36-50-03.292N 096-01-05.944W
BVR   39-45-57.000N 103-55-40.960W
BVS   48-28-06.947N 122-25-07.295W
BVT   40-33-22.027N 087-04-09.552W
BWD   31-53-33.316N 098-57-26.868W
BWG   36-55-43.467N 086-26-36.363W
BWS   32-49-16.518N 106-00-47.351W
BWZ   40-47-54.358N 074-49-18.597W
BXK   33-27-12.442N 112-49-28.530W
BXZ   44-14-33.570N 084-11-00.498W
BYI   42-34-48.875N 113-51-57.074W
BYP   33-32-14.950N 096-14-02.740W
BZA   32-46-05.264N 114-36-10.225W
BZM   35-52-07.874N 081-14-25.904W
BZN   45-47-02.045N 111-09-19.624W
CAE   33-51-26.095N 081-03-14.056W
CAK   40-54-58.605N 081-26-31.412W
CAM   42-59-39.479N 073-20-38.400W
CAP   39-53-31.779N 089-37-31.565W
CBC   10-34-37.000N 066-02-53.000W
CBM   33-38-29.518N 088-26-18.846W
CC    38-02-47.000N 122-02-00.400W
CCC   40-55-46.653N 072-47-55.863W
CCR   38-02-41.712N 122-02-42.768W
CCT   37-22-56.707N 087-15-49.321W
CCV   37-20-51.140N 075-59-51.550W
CDB   55-16-02.557N 162-46-27.260W
CDC   37-47-14.388N 113-04-05.630W
CDO   18-25-59.000N 069-40-02.000W
CDR   42-33-31.577N 103-18-43.727W
CDS   34-22-08.634N 100-17-20.516W
CEC   41-46-46.412N 124-14-27.094W
CEF   42-11-51.133N 072-31-34.714W
CEN   27-24-00.000N 109-50-00.000W
CEW   30-49-34.271N 086-40-44.938W
CEZ   37-23-23.450N 108-33-42.309W
CFB   42-09-26.967N 076-08-11.340W
CGG   44-40-53.825N 084-43-44.204W
CGI   37-13-39.100N 089-34-20.600W
CGL   58-21-33.713N 134-41-57.831W
CGT   41-30-36.019N 087-34-17.557W
CHE   40-31-12.302N 107-18-17.615W
CHS   32-53-39.549N 080-02-16.131W
CIC   39-47-23.378N 121-50-49.922W
CID   41-53-15.115N 091-47-08.544W
CIE   32-02-00.199N 109-45-29.531W
CIM   36-29-29.029N 104-52-19.199W
CIP   41-08-46.526N 079-27-28.762W
CJS   31-38-10.000N 106-25-33.000W
